date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2025-05-12,3722.0,3752.0,3652.0,3698.0,9086800,3603.85,3475.79,3329.49,3801.52,3457.07,55.08,-33.04,-85.71,52.68,3591.87,3363.09,3134.3,193.8
2025-05-13,3890.0,3902.0,3785.0,3785.0,13481200,3688.63,3543.62,3333.12,3799.86,3458.36,58.23,-11.64,-70.9,59.25,3649.21,3380.43,3111.65,201.25
2025-05-14,3845.0,3863.0,3793.0,3846.0,11153000,3748.08,3611.06,3355.3,3799.22,3459.96,60.33,9.99,-54.72,64.71,3703.2,3409.86,3116.53,199.33
2025-05-15,3849.0,3854.0,3738.0,3764.0,11149400,3668.17,3656.67,3388.01,3797.69,3461.1,56.24,20.45,-39.69,60.14,3731.43,3432.86,3134.3,193.38
2025-05-16,3771.0,3803.0,3660.0,3690.0,15299400,3596.05,3660.96,3402.43,3795.01,3461.84,52.76,22.66,-27.22,49.88,3747.3,3448.12,3148.93,189.78
2025-05-19,3650.0,3703.0,3618.0,3669.0,9153700,3575.58,3655.3,3421.53,3791.77,3462.46,51.78,22.5,-17.27,39.78,3749.78,3466.24,3182.7,183.86
2025-05-20,3697.0,3787.0,3693.0,3787.0,13843300,3690.58,3655.69,3435.48,3789.26,3463.69,56.65,31.29,-7.56,38.85,3775.95,3484.81,3193.66,185.83
2025-05-21,3927.0,4005.0,3844.0,3890.0,22134800,3790.96,3664.27,3460.74,3786.65,3465.45,60.4,45.83,3.12,42.71,3820.95,3505.42,3189.89,195.02
2025-05-22,3922.0,3925.0,3848.0,3868.0,9274300,3769.52,3684.54,3483.2,3782.56,3467.08,59.22,54.99,13.49,41.5,3849.42,3529.0,3208.58,190.66
2025-05-23,3898.0,3925.0,3871.0,3894.0,7522800,3794.85,3724.3,3503.35,3778.38,3468.82,60.21,63.56,23.51,40.05,3867.97,3556.82,3245.67,188.15
2025-05-26,3885.0,3912.0,3871.0,3907.0,5923800,3807.52,3770.69,3527.13,3774.14,3470.61,60.73,70.56,32.92,37.64,3887.48,3582.45,3277.43,183.08
2025-05-27,3894.0,3959.0,3884.0,3959.0,6250500,3858.2,3804.21,3548.69,3771.15,3472.65,62.79,79.29,42.19,37.09,3917.64,3607.06,3296.49,180.82
2025-05-28,4000.0,4029.0,3972.0,3981.0,9798900,3879.64,3821.95,3568.72,3768.72,3474.78,63.66,86.93,51.14,35.79,3948.08,3630.99,3313.89,180.1
2025-05-29,3980.0,4033.0,3964.0,4007.0,10909800,3904.98,3849.04,3593.01,3766.89,3477.02,64.72,93.95,59.7,34.24,3981.44,3653.26,3325.07,178.19
2025-05-30,3959.0,4024.0,3951.0,4002.0,14126300,3900.11,3870.09,3619.48,3764.9,3479.22,64.33,97.98,67.36,30.63,4009.67,3673.82,3337.97,173.97
2025-06-02,3983.0,3998.0,3944.0,3965.0,7820000,3864.05,3881.4,3642.24,3763.28,3481.2,61.41,97.16,73.32,23.84,4020.87,3695.79,3370.72,168.53
2025-06-03,3936.0,3956.0,3908.0,3947.0,6474900,3846.51,3879.06,3661.46,3761.45,3483.07,59.99,94.0,77.45,16.55,4010.06,3720.65,3431.23,163.06
2025-06-04,3985.0,4010.0,3973.0,3980.0,6028000,3878.67,3878.86,3680.56,3759.95,3485.09,61.74,93.02,80.57,12.45,4003.6,3744.03,3484.47,163.09
2025-06-05,3950.0,3954.0,3897.0,3917.0,7111600,3817.27,3861.32,3694.87,3756.22,3486.78,56.64,86.3,81.71,4.58,3983.24,3762.89,3542.54,156.82
2025-06-06,3932.0,3949.0,3923.0,3948.0,5201600,3847.48,3850.8,3709.21,3752.28,3488.6,58.46,82.46,81.86,0.59,3981.84,3776.54,3571.23,155.03
2025-06-09,4018.0,4055.0,4004.0,4032.0,10544700,3929.34,3863.85,3729.41,3749.11,3490.82,62.99,85.04,82.5,2.54,3992.3,3792.81,3593.32,158.78
2025-06-10,4026.0,4035.0,3943.0,3957.0,9169600,3856.25,3865.8,3749.68,3744.07,3492.64,57.01,80.26,82.05,-1.79,3996.51,3801.19,3605.87,154.99
2025-06-11,3969.0,3988.0,3935.0,3948.0,5641300,3847.48,3859.56,3767.14,3738.58,3498.19,56.32,74.9,80.62,-5.72,4000.88,3806.16,3611.44,153.33
2025-06-12,3967.0,3999.0,3952.0,3982.0,7531800,3880.61,3872.23,3784.76,3734.63,3503.35,58.37,72.49,78.99,-6.5,4003.23,3816.78,3630.33,153.2
2025-06-13,3994.0,4014.0,3877.0,3895.0,11692000,3795.83,3861.9,3793.61,3730.93,3507.62,51.68,63.02,75.8,-12.78,3983.96,3826.77,3669.58,152.04
2025-06-16,3892.0,3923.0,3873.0,3923.0,8840100,3823.12,3840.66,3802.38,3727.3,3512.26,53.53,57.05,72.05,-15.0,3946.29,3839.15,3732.01,150.26
2025-06-17,3939.0,3974.0,3924.0,3969.0,6366900,3867.95,3843.0,3809.55,3725.59,3517.13,56.47,55.3,68.7,-13.4,3931.17,3848.02,3764.86,150.31
2025-06-18,3930.0,3973.0,3922.0,3970.0,5866700,3868.92,3847.29,3814.39,3722.74,3522.1,56.54,53.38,65.64,-12.25,3931.23,3851.92,3772.6,147.08
2025-06-19,3983.0,3993.0,3943.0,3962.0,4555300,3861.12,3843.39,3822.1,3720.87,3527.2,55.82,50.64,62.64,-11.99,3926.25,3856.5,3786.74,145.43
2025-06-20,3953.0,4008.0,3936.0,3936.0,13552400,3835.79,3851.38,3831.69,3717.8,3531.98,53.47,45.9,59.29,-13.39,3923.15,3858.54,3793.93,145.54
2025-06-23,3929.0,3937.0,3881.0,3913.0,6295000,3813.37,3849.43,3841.2,3714.34,3537.02,51.4,39.88,55.41,-15.53,3922.57,3858.83,3795.1,142.37
2025-06-24,3959.0,4016.0,3943.0,4014.0,9010700,3911.8,3858.2,3850.05,3712.85,3542.52,58.91,42.55,52.84,-10.28,3929.29,3861.51,3793.73,146.67
2025-06-25,4020.0,4034.0,3927.0,3976.0,7968000,3874.77,3859.37,3853.41,3709.65,3547.77,55.44,41.21,50.51,-9.3,3928.82,3861.27,3793.72,144.93
2025-06-26,3970.0,3996.0,3946.0,3996.0,9007200,3894.26,3866.0,3858.4,3708.2,3553.21,56.88,41.24,48.66,-7.41,3927.05,3860.73,3794.42,143.23
